,코드,요양기관소재지구분,환자수,총사용량,진료금액,년도
10,HA614,경기,201,224,"35,464",2017년
11,HA614,강원,8,10,"2,030",2017년
12,HA614,충북,3,3,417,2017년
13,HA614,충남,6,6,"1,124",2017년
14,HA614,전북,8,10,"1,828",2017년
15,HA614,전남,1,0,170,2017년
16,HA614,경북,2,1,313,2017년
17,HA614,경남,83,54,"13,318",2017년
18,HA614,제주,6,7,894,2017년
19,HA614,세종,-,-,-,2017년
2,HA614,계,"1,263","1,319","327,877",2018년
3,HA614,서울,777,858,"214,636",2018년
4,HA614,부산,41,46,"8,690",2018년
5,HA614,인천,30,24,"7,426",2018년
6,HA614,대구,25,27,"6,875",2018년
7,HA614,광주,4,3,726,2018년
8,HA614,대전,12,10,"3,560",2018년
9,HA614,울산,11,11,"2,163",2018년
10,HA614,경기,223,231,"49,892",2018년
11,HA614,강원,10,10,"2,807",2018년
12,HA614,충북,5,6,"1,380",2018년
13,HA614,충남,12,10,"2,707",2018년
14,HA614,전북,15,15,"4,216",2018년
15,HA614,전남,-,-,-,2018년
16,HA614,경북,7,5,"1,602",2018년
17,HA614,경남,94,64,"21,198",2018년
18,HA614,제주,-,-,-,2018년
19,HA614,세종,-,-,-,2018년
2,HA614,계,"1,334","1,417","390,182",2019년
3,HA614,서울,784,867,"240,509",2019년
4,HA614,부산,46,48,"11,660",2019년
5,HA614,인천,50,48,"12,241",2019년
6,HA614,대구,30,35,"9,282",2019년
7,HA614,광주,12,10,"3,049",2019년
8,HA614,대전,21,17,"5,876",2019년
9,HA614,울산,7,7,"1,730",2019년
10,HA614,경기,231,260,"62,680",2019년
11,HA614,강원,9,7,"2,143",2019년
12,HA614,충북,9,9,"2,524",2019년
13,HA614,충남,3,2,629,2019년
14,HA614,전북,22,23,"6,764",2019년
15,HA614,전남,-,-,-,2019년
16,HA614,경북,3,7,"2,091",2019년
17,HA614,경남,105,72,"27,996",2019년
18,HA614,제주,4,4,"1,008",2019년
19,HA614,세종,-,-,-,2019년
2,HA614,계,"1,295","1,471","424,780",2020년
3,HA614,서울,697,771,"238,806",2020년
4,HA614,부산,32,32,"8,944",2020년
5,HA614,인천,65,71,"20,709",2020년
6,HA614,대구,29,34,"10,686",2020년
7,HA614,광주,16,16,"5,436",2020년
8,HA614,대전,20,18,"6,129",2020년
9,HA614,울산,7,7,"2,004",2020년
10,HA614,경기,280,411,"86,984",2020년
11,HA614,강원,3,4,"1,313",2020년
12,HA614,충북,9,8,"2,117",2020년
13,HA614,충남,8,6,"1,969",2020년
14,HA614,전북,7,9,"3,107",2020년
15,HA614,전남,1,0,208,2020년
16,HA614,경북,6,6,"2,193",2020년
17,HA614,경남,114,76,"33,760",2020년
18,HA614,제주,2,2,416,2020년
19,HA614,세종,-,-,-,2020년
2,HA614,계,"1,277","1,486","445,791",2021년
3,HA614,서울,710,789,"259,297",2021년
4,HA614,부산,22,22,"7,294",2021년
5,HA614,인천,91,102,"32,122",2021년
6,HA614,대구,34,39,"11,527",2021년
7,HA614,광주,13,10,"5,235",2021년
8,HA614,대전,13,15,"3,430",2021년
9,HA614,울산,7,7,"1,936",2021년
10,HA614,경기,255,396,"82,661",2021년
11,HA614,강원,13,14,"3,509",2021년
12,HA614,충북,1,1,211,2021년
13,HA614,충남,11,10,"4,664",2021년
14,HA614,전북,5,5,"1,130",2021년
15,HA614,전남,4,4,"1,511",2021년
16,HA614,경북,6,4,"1,486",2021년
17,HA614,경남,90,64,"28,248",2021년
18,HA614,제주,3,3,"1,118",2021년
19,HA614,세종,2,2,412,2021년
2,HA615,계,"3,911","3,816","376,154",2010년
3,HA615,서울,"1,293","1,307","126,444",2010년
4,HA615,부산,355,356,"33,357",2010년
5,HA615,인천,137,142,"13,302",2010년
6,HA615,대구,175,169,"18,310",2010년
7,HA615,광주,322,330,"28,393",2010년
8,HA615,대전,334,292,"32,254",2010년
9,HA615,울산,32,31,"2,824",2010년
10,HA615,경기,584,596,"54,461",2010년
11,HA615,강원,56,47,"4,993",2010년
12,HA615,충북,33,33,"3,281",2010년
13,HA615,충남,71,74,"7,927",2010년
14,HA615,전북,75,76,"7,211",2010년
15,HA615,전남,19,19,"1,617",2010년
16,HA615,경북,64,52,"6,035",2010년
17,HA615,경남,312,234,"30,699",2010년
18,HA615,제주,54,56,"5,048",2010년
19,HA615,세종,-,-,-,2010년
2,HA615,계,"3,860","3,728","416,416",2011년
3,HA615,서울,"1,399","1,399","152,061",2011년
4,HA615,부산,438,435,"46,127",2011년
5,HA615,인천,130,130,"14,186",2011년
6,HA615,대구,134,128,"17,462",2011년
7,HA615,광주,228,228,"23,176",2011년
8,HA615,대전,300,259,"31,825",2011년
9,HA615,울산,48,48,"4,776",2011년
10,HA615,경기,533,550,"56,054",2011년
11,HA615,강원,65,52,"7,106",2011년
12,HA615,충북,46,44,"4,472",2011년
13,HA615,충남,59,60,"6,826",2011년
14,HA615,전북,72,75,"7,964",2011년
15,HA615,전남,16,17,"1,593",2011년
16,HA615,경북,41,37,"5,383",2011년
17,HA615,경남,317,219,"33,016",2011년
18,HA615,제주,47,46,"4,388",2011년
19,HA615,세종,-,-,-,2011년
2,HA615,계,"3,389","3,229","400,388",2012년
3,HA615,서울,"1,243","1,237","147,210",2012년
4,HA615,부산,206,203,"24,971",2012년
5,HA615,인천,103,106,"12,427",2012년
6,HA615,대구,140,132,"19,040",2012년
7,HA615,광주,161,160,"19,754",2012년
8,HA615,대전,240,225,"27,619",2012년
9,HA615,울산,30,28,"3,405",2012년
10,HA615,경기,503,509,"59,408",2012년
11,HA615,강원,59,46,"6,443",2012년
12,HA615,충북,40,41,"4,787",2012년
13,HA615,충남,42,41,"5,790",2012년
14,HA615,전북,74,74,"8,521",2012년
15,HA615,전남,17,16,"2,157",2012년
16,HA615,경북,158,130,"17,001",2012년
17,HA615,경남,343,242,"37,727",2012년
18,HA615,제주,39,38,"4,127",2012년
19,HA615,세종,-,-,-,2012년
2,HA615,계,"3,319","3,198","408,994",2013년
3,HA615,서울,"1,188","1,158","144,230",2013년
4,HA615,부산,170,170,"21,371",2013년
5,HA615,인천,175,163,"21,964",2013년
6,HA615,대구,109,112,"18,033",2013년
7,HA615,광주,163,164,"20,633",2013년
8,HA615,대전,218,201,"24,633",2013년
9,HA615,울산,49,49,"5,701",2013년
10,HA615,경기,598,620,"72,142",2013년
11,HA615,강원,42,30,"4,891",2013년
12,HA615,충북,41,42,"4,548",2013년
13,HA615,충남,102,96,"14,456",2013년
14,HA615,전북,59,60,"7,451",2013년
15,HA615,전남,22,22,"3,380",2013년
16,HA615,경북,87,78,"10,181",2013년
17,HA615,경남,277,206,"32,295",2013년
18,HA615,제주,27,26,"3,085",2013년
19,HA615,세종,-,-,-,2013년
2,HA615,계,"3,435","3,308","431,144",2014년
3,HA615,서울,"1,306","1,260","159,406",2014년
4,HA615,부산,160,164,"19,824",2014년
5,HA615,인천,199,190,"25,152",2014년
6,HA615,대구,112,111,"19,643",2014년
7,HA615,광주,145,136,"18,143",2014년
8,HA615,대전,196,181,"23,749",2014년
9,HA615,울산,44,44,"5,315",2014년
10,HA615,경기,623,638,"77,780",2014년
11,HA615,강원,48,44,"5,467",2014년
12,HA615,충북,59,55,"6,789",2014년
13,HA615,충남,70,74,"9,869",2014년
14,HA615,전북,80,88,"10,345",2014년
15,HA615,전남,17,16,"2,201",2014년
16,HA615,경북,79,62,"10,627",2014년
17,HA615,경남,278,219,"33,360",2014년
18,HA615,제주,32,26,"3,472",2014년
19,HA615,세종,-,-,-,2014년
2,HA615,계,"3,457","3,302","438,671",2015년
3,HA615,서울,"1,358","1,316","171,134",2015년
4,HA615,부산,161,162,"19,713",2015년
5,HA615,인천,224,202,"28,697",2015년
6,HA615,대구,76,73,"11,629",2015년
7,HA615,광주,191,188,"23,721",2015년
8,HA615,대전,205,192,"26,586",2015년
9,HA615,울산,47,51,"5,969",2015년
10,HA615,경기,564,588,"71,197",2015년
11,HA615,강원,45,37,"5,350",2015년
12,HA615,충북,62,52,"7,308",2015년
13,HA615,충남,75,72,"10,225",2015년
14,HA615,전북,97,96,"12,086",2015년
15,HA615,전남,28,22,"4,029",2015년
16,HA615,경북,68,52,"8,847",2015년
17,HA615,경남,237,177,"29,179",2015년
18,HA615,제주,27,22,"3,001",2015년
19,HA615,세종,-,-,-,2015년
2,HA615,계,"3,763","3,599","486,223",2016년
3,HA615,서울,"1,504","1,489","189,538",2016년
4,HA615,부산,136,135,"17,737",2016년
5,HA615,인천,170,165,"21,981",2016년
6,HA615,대구,71,67,"11,034",2016년
7,HA615,광주,245,238,"34,549",2016년
8,HA615,대전,201,186,"27,057",2016년
9,HA615,울산,49,54,"6,587",2016년
10,HA615,경기,572,574,"71,579",2016년
11,HA615,강원,29,24,"3,305",2016년
12,HA615,충북,67,63,"7,870",2016년
13,HA615,충남,81,79,"11,872",2016년
14,HA615,전북,122,133,"15,910",2016년
15,HA615,전남,68,48,"9,831",2016년
16,HA615,경북,100,86,"13,030",2016년
17,HA615,경남,328,232,"40,672",2016년
18,HA615,제주,29,24,"3,670",2016년
19,HA615,세종,-,-,-,2016년
2,HA615,계,"3,531","3,380","514,594",2017년
3,HA615,서울,"1,361","1,327","186,621",2017년
4,HA615,부산,169,172,"23,470",2017년
5,HA615,인천,160,151,"21,772",2017년
6,HA615,대구,103,95,"17,905",2017년
7,HA615,광주,229,197,"37,895",2017년
8,HA615,대전,175,167,"27,196",2017년
9,HA615,울산,40,40,"6,512",2017년
10,HA615,경기,593,627,"88,229",2017년
11,HA615,강원,26,22,"3,345",2017년
12,HA615,충북,32,32,"3,928",2017년
13,HA615,충남,76,66,"11,561",2017년
14,HA615,전북,125,127,"18,133",2017년
15,HA615,전남,48,36,"7,084",2017년
16,HA615,경북,96,77,"15,287",2017년
17,HA615,경남,276,214,"40,717",2017년
18,HA615,제주,34,32,"4,939",2017년
19,HA615,세종,-,-,-,2017년
2,HA615,계,"4,042","3,986","766,750",2018년
3,HA615,서울,"1,521","1,514","283,086",2018년
4,HA615,부산,214,212,"36,089",2018년
5,HA615,인천,169,169,"29,678",2018년
6,HA615,대구,145,144,"33,779",2018년
7,HA615,광주,255,225,"47,144",2018년
8,HA615,대전,210,190,"41,298",2018년
9,HA615,울산,40,41,"6,770",2018년
10,HA615,경기,704,779,"138,423",2018년
11,HA615,강원,21,18,"4,142",2018년
12,HA615,충북,45,46,"7,631",2018년
13,HA615,충남,90,84,"17,426",2018년
14,HA615,전북,178,188,"32,092",2018년
15,HA615,전남,61,43,"11,560",2018년
16,HA615,경북,123,104,"22,986",2018년
17,HA615,경남,256,205,"50,279",2018년
18,HA615,제주,23,22,"4,367",2018년
19,HA615,세종,-,-,-,2018년
2,HA615,계,"3,939","3,875","842,896",2019년
3,HA615,서울,"1,317","1,327","281,002",2019년
4,HA615,부산,240,247,"50,869",2019년
5,HA615,인천,172,176,"39,181",2019년
6,HA615,대구,127,124,"32,333",2019년
7,HA615,광주,219,178,"44,067",2019년
8,HA615,대전,244,222,"49,073",2019년
9,HA615,울산,53,54,"10,005",2019년
10,HA615,경기,723,788,"151,732",2019년
11,HA615,강원,30,26,"6,818",2019년
12,HA615,충북,46,44,"9,401",2019년
13,HA615,충남,89,82,"20,679",2019년
14,HA615,전북,210,223,"45,355",2019년
15,HA615,전남,55,40,"11,228",2019년
16,HA615,경북,95,82,"21,257",2019년
17,HA615,경남,296,230,"62,849",2019년
18,HA615,제주,34,33,"7,047",2019년
19,HA615,세종,-,-,-,2019년
2,HA615,계,"4,095","4,249","954,390",2020년
3,HA615,서울,"1,332","1,338","311,547",2020년
4,HA615,부산,509,507,"103,627",2020년
5,HA615,인천,162,167,"40,611",2020년
6,HA615,대구,141,144,"34,570",2020년
7,HA615,광주,223,176,"51,433",2020년
8,HA615,대전,202,198,"48,235",2020년
9,HA615,울산,64,66,"14,951",2020년
10,HA615,경기,729,920,"170,451",2020년
11,HA615,강원,14,17,"3,141",2020년
12,HA615,충북,25,26,"6,494",2020년
13,HA615,충남,87,77,"21,889",2020년
14,HA615,전북,213,211,"52,135",2020년
15,HA615,전남,42,32,"9,839",2020년
16,HA615,경북,70,76,"17,227",2020년
17,HA615,경남,261,263,"61,407",2020년
18,HA615,제주,28,29,"6,265",2020년
19,HA615,세종,3,2,567,2020년
2,HA615,계,"5,153","5,244","1,242,669",2021년
3,HA615,서울,"1,425","1,369","348,540",2021년
4,HA615,부산,"1,460","1,399","314,744",2021년
5,HA615,인천,160,159,"42,297",2021년
6,HA615,대구,189,189,"47,694",2021년
7,HA615,광주,168,130,"44,384",2021년
8,HA615,대전,188,204,"47,521",2021년
9,HA615,울산,62,62,"15,798",2021년
10,HA615,경기,724,931,"187,229",2021년
11,HA615,강원,47,49,"12,578",2021년
12,HA615,충북,36,33,"9,145",2021년
13,HA615,충남,88,73,"22,151",2021년
14,HA615,전북,235,244,"58,895",2021년
15,HA615,전남,47,36,"11,645",2021년
16,HA615,경북,91,94,"20,589",2021년
17,HA615,경남,210,243,"52,111",2021년
18,HA615,제주,28,28,"6,936",2021년
19,HA615,세종,2,2,412,2021년
2,HA618,계,"2,333","2,306","236,820",2010년
3,HA618,서울,"1,024","1,036","108,150",2010년
4,HA618,부산,68,68,"7,199",2010년
5,HA618,인천,103,97,"9,486",2010년
6,HA618,대구,172,155,"14,890",2010년
7,HA618,광주,63,60,"6,720",2010년
8,HA618,대전,72,53,"6,807",2010년
9,HA618,울산,47,38,"4,408",2010년
10,HA618,경기,459,473,"47,140",2010년
11,HA618,강원,83,80,"7,427",2010년
12,HA618,충북,47,46,"4,855",2010년
13,HA618,충남,21,19,"1,971",2010년
14,HA618,전북,38,38,"3,410",2010년
15,HA618,전남,18,20,"1,781",2010년
16,HA618,경북,21,17,"1,976",2010년
17,HA618,경남,78,85,"7,972",2010년
18,HA618,제주,21,20,"2,627",2010년
19,HA618,세종,-,-,-,2010년
2,HA618,계,"2,035","1,969","214,910",2011년
3,HA618,서울,849,822,"92,398",2011년
4,HA618,부산,57,57,"6,383",2011년
5,HA618,인천,71,53,"6,014",2011년
6,HA618,대구,145,136,"13,639",2011년
7,HA618,광주,62,58,"7,635",2011년
8,HA618,대전,73,49,"7,385",2011년
9,HA618,울산,30,24,"3,050",2011년
10,HA618,경기,436,464,"44,564",2011년
11,HA618,강원,78,75,"8,662",2011년
12,HA618,충북,50,47,"5,271",2011년
13,HA618,충남,30,23,"2,984",2011년
14,HA618,전북,41,43,"4,313",2011년
15,HA618,전남,14,14,"1,339",2011년
16,HA618,경북,13,10,"1,274",2011년
17,HA618,경남,77,80,"8,387",2011년
18,HA618,제주,15,15,"1,610",2011년
19,HA618,세종,-,-,-,2011년
2,HA618,계,"1,984","1,963","234,727",2012년
3,HA618,서울,806,795,"98,371",2012년
4,HA618,부산,80,82,"10,931",2012년
5,HA618,인천,97,95,"11,598",2012년
6,HA618,대구,153,141,"16,092",2012년
7,HA618,광주,55,50,"7,522",2012년
8,HA618,대전,83,53,"8,630",2012년
9,HA618,울산,16,11,"1,711",2012년
10,HA618,경기,412,453,"46,193",2012년
11,HA618,강원,81,80,"9,357",2012년
12,HA618,충북,38,38,"4,768",2012년
13,HA618,충남,18,16,"2,165",2012년
14,HA618,전북,38,38,"4,236",2012년
15,HA618,전남,16,17,"1,884",2012년
16,HA618,경북,15,12,"1,731",2012년
17,HA618,경남,56,60,"6,749",2012년
18,HA618,제주,23,22,"2,789",2012년
19,HA618,세종,-,-,-,2012년
2,HA618,계,"2,018","1,992","243,290",2013년
3,HA618,서울,752,741,"92,251",2013년
4,HA618,부산,66,66,"8,033",2013년
5,HA618,인천,107,104,"13,116",2013년
6,HA618,대구,138,135,"15,262",2013년
7,HA618,광주,56,54,"8,221",2013년
8,HA618,대전,82,52,"9,085",2013년
9,HA618,울산,22,15,"2,387",2013년
10,HA618,경기,468,506,"55,440",2013년
11,HA618,강원,89,82,"10,899",2013년
12,HA618,충북,50,50,"5,927",2013년
13,HA618,충남,45,38,"5,220",2013년
14,HA618,전북,36,38,"4,213",2013년
15,HA618,전남,10,10,"1,112",2013년
16,HA618,경북,12,8,"1,365",2013년
17,HA618,경남,74,82,"9,276",2013년
18,HA618,제주,12,12,"1,484",2013년
19,HA618,세종,-,-,-,2013년
2,HA618,계,"2,069","2,065","257,385",2014년
3,HA618,서울,824,816,"102,495",2014년
4,HA618,부산,67,68,"8,427",2014년
5,HA618,인천,105,105,"13,769",2014년
6,HA618,대구,103,97,"11,770",2014년
7,HA618,광주,49,47,"7,302",2014년
8,HA618,대전,77,53,"8,927",2014년
9,HA618,울산,13,10,"1,560",2014년
10,HA618,경기,499,526,"59,962",2014년
11,HA618,강원,89,85,"11,028",2014년
12,HA618,충북,72,72,"9,167",2014년
13,HA618,충남,29,26,"3,385",2014년
14,HA618,전북,32,36,"4,228",2014년
15,HA618,전남,8,10,"1,094",2014년
16,HA618,경북,11,9,"1,487",2014년
17,HA618,경남,72,81,"9,320",2014년
18,HA618,제주,27,24,"3,462",2014년
19,HA618,세종,-,-,-,2014년
2,HA618,계,"2,164","2,179","272,576",2015년
3,HA618,서울,859,847,"108,143",2015년
4,HA618,부산,53,55,"7,453",2015년
5,HA618,인천,106,102,"13,987",2015년
6,HA618,대구,119,112,"13,429",2015년
7,HA618,광주,55,52,"8,733",2015년
8,HA618,대전,39,26,"4,626",2015년
9,HA618,울산,11,10,"1,549",2015년
10,HA618,경기,569,625,"69,337",2015년
11,HA618,강원,98,96,"12,310",2015년
12,HA618,충북,72,74,"9,050",2015년
13,HA618,충남,32,28,"3,852",2015년
14,HA618,전북,39,40,"4,767",2015년
15,HA618,전남,21,20,"2,375",2015년
16,HA618,경북,14,11,"1,760",2015년
17,HA618,경남,65,67,"9,020",2015년
18,HA618,제주,15,13,"2,187",2015년
19,HA618,세종,-,-,-,2015년
2,HA618,계,"2,342","2,325","297,071",2016년
3,HA618,서울,921,901,"114,661",2016년
4,HA618,부산,90,89,"14,398",2016년
5,HA618,인천,186,179,"24,197",2016년
6,HA618,대구,132,128,"15,906",2016년
7,HA618,광주,26,22,"3,637",2016년
8,HA618,대전,40,30,"5,088",2016년
9,HA618,울산,12,10,"1,393",2016년
10,HA618,경기,574,610,"71,584",2016년
11,HA618,강원,116,117,"15,044",2016년
12,HA618,충북,71,71,"8,962",2016년
13,HA618,충남,40,31,"4,822",2016년
14,HA618,전북,56,59,"7,116",2016년
15,HA618,전남,8,7,"1,141",2016년
16,HA618,경북,11,7,"1,341",2016년
17,HA618,경남,47,49,"6,142",2016년
18,HA618,제주,13,13,"1,638",2016년
19,HA618,세종,-,-,-,2016년
2,HA618,계,"2,224","2,219","303,540",2017년
3,HA618,서울,859,852,"116,967",2017년
4,HA618,부산,72,72,"10,024",2017년
5,HA618,인천,185,183,"26,790",2017년
6,HA618,대구,132,122,"16,055",2017년
7,HA618,광주,25,20,"4,115",2017년
8,HA618,대전,42,30,"5,577",2017년
9,HA618,울산,12,12,"1,745",2017년
10,HA618,경기,547,605,"73,688",2017년
11,HA618,강원,89,88,"12,321",2017년
12,HA618,충북,39,39,"5,563",2017년
13,HA618,충남,47,37,"5,551",2017년
14,HA618,전북,43,38,"6,008",2017년
15,HA618,전남,15,12,"2,196",2017년
16,HA618,경북,32,24,"4,221",2017년
17,HA618,경남,69,66,"9,694",2017년
18,HA618,제주,19,18,"3,024",2017년
19,HA618,세종,-,-,-,2017년
2,HA618,계,"2,422","2,463","400,427",2018년
3,HA618,서울,954,965,"156,369",2018년
4,HA618,부산,50,49,"8,324",2018년
5,HA618,인천,237,229,"40,399",2018년
6,HA618,대구,142,130,"21,246",2018년
7,HA618,광주,33,30,"6,081",2018년
8,HA618,대전,29,18,"4,336",2018년
9,HA618,울산,8,8,"1,398",2018년
10,HA618,경기,597,672,"96,106",2018년
11,HA618,강원,91,93,"14,926",2018년
12,HA618,충북,59,58,"11,633",2018년
13,HA618,충남,59,50,"10,024",2018년
14,HA618,전북,21,19,"3,240",2018년
15,HA618,전남,24,21,"4,572",2018년
16,HA618,경북,42,34,"7,156",2018년
17,HA618,경남,74,76,"12,753",2018년
18,HA618,제주,9,10,"1,862",2018년
19,HA618,세종,-,-,-,2018년
2,HA618,계,"2,367","2,551","440,126",2019년
3,HA618,서울,937,"1,050","171,619",2019년
4,HA618,부산,59,56,"11,678",2019년
5,HA618,인천,222,226,"44,639",2019년
6,HA618,대구,114,106,"19,714",2019년
7,HA618,광주,18,17,"3,513",2019년
8,HA618,대전,48,37,"8,572",2019년
9,HA618,울산,13,13,"2,095",2019년
10,HA618,경기,542,659,"101,242",2019년
11,HA618,강원,124,132,"21,439",2019년
12,HA618,충북,59,58,"12,654",2019년
13,HA618,충남,52,47,"9,555",2019년
14,HA618,전북,35,26,"7,093",2019년
15,HA618,전남,10,10,"2,245",2019년
16,HA618,경북,71,56,"12,065",2019년
17,HA618,경남,52,48,"9,722",2019년
18,HA618,제주,11,12,"2,279",2019년
19,HA618,세종,-,-,-,2019년
2,HA618,계,"2,881","3,294","599,905",2020년
3,HA618,서울,986,"1,145","200,150",2020년
4,HA618,부산,64,62,"13,742",2020년
5,HA618,인천,513,522,"108,015",2020년
6,HA618,대구,155,154,"33,018",2020년
7,HA618,광주,19,20,"5,276",2020년
8,HA618,대전,61,56,"11,846",2020년
9,HA618,울산,27,26,"7,640",2020년
10,HA618,경기,678,951,"139,671",2020년
11,HA618,강원,117,122,"22,372",2020년
12,HA618,충북,51,51,"12,175",2020년
13,HA618,충남,66,55,"15,299",2020년
14,HA618,전북,32,26,"7,331",2020년
15,HA618,전남,11,10,"2,192",2020년
16,HA618,경북,45,33,"8,475",2020년
17,HA618,경남,47,50,"10,314",2020년
18,HA618,제주,11,11,"2,219",2020년
19,HA618,세종,1,1,171,2020년
2,HA618,계,"3,160","3,582","682,868",2021년
3,HA618,서울,951,"1,116","202,269",2021년
4,HA618,부산,59,60,"14,521",2021년
5,HA618,인천,664,676,"137,784",2021년
6,HA618,대구,178,170,"43,411",2021년
7,HA618,광주,12,12,"3,045",2021년
8,HA618,대전,118,121,"23,151",2021년
9,HA618,울산,37,37,"8,530",2021년
